,id,url,priority,page,fetched,price_currency,price_value,ad_id,posted_weekday,posted_time,posted_month,posted_day,posted_year,delivery_offered,price_negotiable,condition,year,make,model,current_location,import_duty_paid,mileage,transmission,four_wheel_drive,location,description
1534,1535,https://www.zoomtanzania.com/hatchbacks/2003-toyota-sienta-1179773?s=0c8336653fbabe19b9bc59f877b40666,silver,154,1,TSh,"7,700,000",1179773,Monday,09:49:00,October,01,2018,,No,Used,2003,Toyota,Sienta,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota Sienta(DEP)
Year 2003
Cc 1490
Mileage 121,321km
Price 7.7m"
1535,1536,https://www.zoomtanzania.com/4x4s-suvs/2003-toyota-rav4-1179767?s=0c8336653fbabe19b9bc59f877b40666,silver,154,1,TSh,"12,000,000",1179767,Monday,09:49:00,October,01,2018,,No,Used,2003,Toyota,,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota Rav 4 (DCV)
Year 2003
Engine Vvti
Cc 1790
Fuel Petrol
Trans Auto
New Tyres
Forg Lights
Sport Rims
In mint Condition?
Price.12.m Fixed"
1536,1537,https://www.zoomtanzania.com/sedans/2000-toyota-carina-ti-1179762?s=0c8336653fbabe19b9bc59f877b40666,silver,154,1,TSh,"8,800,000",1179762,Monday,09:49:00,October,01,2018,,No,Used,2000,Toyota,Carina Ti,In Tanzania,Yes,,Stick Shift,no,"Other Dar es Salaam District

Dar Es Salaam","Carina Ti (DMK)
Year 2000
Cc 1490
Engine 5A
Mileage 100,023km
Manual transmission
Price 8.8m"
1537,1538,https://www.zoomtanzania.com/sedans/2000-toyota-altezza-1179760?s=0c8336653fbabe19b9bc59f877b40666,silver,154,1,TSh,"5,500,000",1179760,Monday,09:31:00,October,01,2018,,No,Used,2000,Toyota,Altezza,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Alteza Lexus [BUF]
Year: 2000
Cc: 1980
Six cylinder
Speed: 240
Very clean condition
Price: 5.5M"
1538,1539,https://www.zoomtanzania.com/4x4s-suvs/2002-toyota-1179758?s=0c8336653fbabe19b9bc59f877b40666,silver,154,1,TSh,"11,000,000",1179758,Monday,09:30:00,October,01,2018,,No,Used,2002,Toyota,Rav 4,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota rav4 [CWQ]
Year: 2002
Engene: 1AZ
Cc: 1990
Color: pearl white
Good condition
Price: 11M"
1539,1540,https://www.zoomtanzania.com/sedans/1999-toyota-altezza-1179754?s=0c8336653fbabe19b9bc59f877b40666,silver,154,1,TSh,"7,800,000",1179754,Friday,03:42:00,November,02,2018,,No,Used,1999,Toyota,Altezza,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota alteza [DGU]
Year: 1999
Four cylinder
Cc: 1980
Mileage: 120k
Color: silver
Sport rims
Spoiler
Sun roof
Clean condition
Price: 7.8M"
1540,1541,https://www.zoomtanzania.com/hatchbacks/2004-toyota-raum-1179752?s=0257bb562272aa5d188ffc0406e1e933,silver,155,1,TSh,"10,800,000",1179752,Monday,09:29:00,October,01,2018,,No,Used,2004,Toyota,Raum,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota Raum (Chassis)
Year 2004
Cc 1490
Kms 86,000
Engine Vvti
Fuel Petrol
Trans Auto
Seat Capacity 5
New Tyres
Forg Lights
In mint Condition?
Price.10.8.m"
1541,1542,https://www.zoomtanzania.com/sedans/2006-toyota-crown-athlete-1179750?s=0257bb562272aa5d188ffc0406e1e933,silver,155,1,TSh,"15,500,000",1179750,Monday,09:30:00,October,01,2018,,No,Used,2006,Toyota,Crown Athlete,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota Crown Athlete
Year:2006
Cc: 2490
Mileage: 47,000
Full option
Push to start
Wide screen
Original Rims
Leather seats
Reverse Camera
Side mirror indicator
Colour: Pearl white
Free registration
Price: 15.5M"
1542,1543,https://www.zoomtanzania.com/hatchbacks/2003-toyota-ist-1179748?s=0257bb562272aa5d188ffc0406e1e933,silver,155,1,TSh,"9,750,000",1179748,Tuesday,12:34:00,October,02,2018,Yes,Yes,Used,2003,Toyota,IST,In Tanzania,Yes,74000,Automatic,no,"Kinondoni, Kawe

Dar Es Salaam",IST for sale. Lady driven for 3months. Has plastic interiors which are easier to clean and stay looking new.
1543,1544,https://www.zoomtanzania.com/minis/2004-toyota-alphard-1179746?s=0257bb562272aa5d188ffc0406e1e933,silver,155,1,TSh,"18,500,000",1179746,Monday,09:30:00,October,01,2018,,No,Used Abroad,2004,Toyota,Alphard,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Toyota Alphad
Year: 2004
Cc: 2360
Mileage: 42,000
Color: black
Full Option
Sport rims
Seat cover
New tires
Free registration
Price: 18.5M"
